item_index,prompt,choices,gold_label,predicted_label,correct,correct_raw,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_gb
0,"An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?

Answer choices:
A. Planetary density will decrease.
B. Planetary years will become longer.
C. Planetary days will become shorter.
D. Planetary gravity will become stronger.","[('A', 'Planetary density will decrease.'), ('B', 'Planetary years will become longer.'), ('C', 'Planetary days will become shorter.'), ('D', 'Planetary gravity will become stronger.')]",C,C,1,1,25.135215028272444,0.0150767274999452,0.0190732223673461,2.864070597999671,0.001708984375
1,"A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?

Answer choices:
A. buildings will be built faster
B. buildings will be made safer
C. building designs will look nicer
D. building materials will be cheaper","[('A', 'buildings will be built faster'), ('B', 'buildings will be made safer'), ('C', 'building designs will look nicer'), ('D', 'building materials will be cheaper')]",B,D,0,1,30.486711560632063,0.0149765874994045,0.018856836452912,4.057555678014978,0.002685546875
2,"The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?

Answer choices:
A. Chemical energy is absorbed through the roots.
B. Light energy is converted to chemical energy.
C. Chlorophyll in the leaf captures light energy.
D. Sunlight is converted into chlorophyll.","[('A', 'Chemical energy is absorbed through the roots.'), ('B', 'Light energy is converted to chemical energy.'), ('C', 'Chlorophyll in the leaf captures light energy.'), ('D', 'Sunlight is converted into chlorophyll.')]",C,B,0,0,5.764616138445108,0.0149710047503504,0.018943489523097,2.920350936989053,0.001953125
3,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?

Answer choices:
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable","[('A', 'the control'), ('B', 'the hypothesis statement'), ('C', 'the dependent (responding) variable'), ('D', 'the independent (manipulated) variable')]",D,D,1,0,7.463551544620295,0.0149342549998436,0.018912105137089,4.749939093997455,0.003173828125
4,"Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?

Answer choices:
A. a non-infectious, cell-cycle disease
B. an infectious, cell-cycle disease
C. a non-infectious, chronic disease
D. an infectious, chronic disease","[('A', 'a non-infectious, cell-cycle disease'), ('B', 'an infectious, cell-cycle disease'), ('C', 'a non-infectious, chronic disease'), ('D', 'an infectious, chronic disease')]",B,D,0,0,147.056056578447,0.0149100497505969,0.0189376072911485,6.043924103005338,0.00390625
5,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?

Answer choices:
A. to repare for migration before winter
B. to provide warmth during the cold winter months
C. to store food that will be eaten over the winter months
D. to protect the grasses and seeds from decay before winter","[('A', 'to repare for migration before winter'), ('B', 'to provide warmth during the cold winter months'), ('C', 'to store food that will be eaten over the winter months'), ('D', 'to protect the grasses and seeds from decay before winter')]",C,B,0,0,14.794003464686842,0.0149018550000619,0.0189569345451679,5.310678289011776,0.00341796875
6,"Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?

Answer choices:
A. There was once more water in the area.
B. The area was once grassland.
C. The climate in the area was once tropical.
D. There are active faults in the area.","[('A', 'There was once more water in the area.'), ('B', 'The area was once grassland.'), ('C', 'The climate in the area was once tropical.'), ('D', 'There are active faults in the area.')]",C,C,1,1,3.8413833083273055,0.0149327124995579,0.0189651126423334,3.188974435983255,0.001953125
7,"Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?

Answer choices:
A. The chicken population would go down.
B. Populations of mice and rats would increase.
C. Another bird of prey would replace the hawk.
D. The chickens would have a lower rate of disease.","[('A', 'The chicken population would go down.'), ('B', 'Populations of mice and rats would increase.'), ('C', 'Another bird of prey would replace the hawk.'), ('D', 'The chickens would have a lower rate of disease.')]",B,A,0,0,5.184513173887462,0.0149007722502574,0.0189190793058657,4.883968311996796,0.003173828125
8,"Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?

Answer choices:
A. the atom
B. the electron
C. the nucleus
D. the proton","[('A', 'the atom'), ('B', 'the electron'), ('C', 'the nucleus'), ('D', 'the proton')]",A,C,0,1,30.85410824432024,0.0149255950004771,0.0190440600968324,2.4211658320091374,0.00146484375
9,"According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?

Answer choices:
A. life processes
B. size differences
C. plasma membranes
D. energy molecules","[('A', 'life processes'), ('B', 'size differences'), ('C', 'plasma membranes'), ('D', 'energy molecules')]",B,C,0,0,2736.8337900267634,0.0149362400006793,0.018824952412763,3.2976367749979545,0.002197265625
