item_index,prompt,gold_index,predicted_index,correct,correct_raw,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_mb
0,"Dodgeball: A large group of people are seen standing around a large gymnasium playing a game of dodge ball with one another. One man
A. hits the other after pulling the other down the court.
B. takes out a tennis ball while moving the other creatures around.
C. stands while the other kicks and hits at him while the pudding team cheerleaders cheer on.
D. performs an impressive flip that leads to a man speaking to the camera and showing more shots of impressive dodgeball play.",3,3,1,0,39.602589331625815,0.18466959750003298,0.15412900277777528,28.481898889999684,3.06939697265625
1,"Playing accordion: A man is seen speaking to the camera while holding a large accordion in his hands. The man
A. plays the instrument while looking in the camera with his hands.
B. continues playing the instrument while looking off into the distance and pointing.
C. then demonstrates how to properly play the instrument while moving his hands up and down.
D. begins working out on the accordion while tying other pieces together and putting the ends together.",2,2,1,1,5.692578849038701,0.1506983792500023,0.15345248346479629,22.39304616900108,2.5383148193359375
2,"Putting on makeup: She begins to put eye shadow on her eyelids and rubbing it in. She adds eyelash extensions on her eyes. Then
A. , she begins to contour her entire face little by little patting it down as she goes along.
B. she reappears and touches her eyelids.
C. she pretends to dusty your eyes.
D. she repeats the process with her lips.",0,3,0,0,20.730734306870588,0.15166015625004547,0.15295790660125713,24.773989867998807,2.9207916259765625
3,"Hurling: People are playing lacrosse on a field. They score a point into the net. Two men
A. high five on the field.
B. are standing behind a net holding sticks.
C. keep score, making a shot over the net.
D. fall to the ground.",0,1,0,0,8.800335610916472,0.15091234000021814,0.1528154690256251,18.483059235999008,2.3293914794921875
4,"Shaving: We see a man in a barber shop and see images of the shop. The barber speaks cut with scenes of a barber shop. We
A. then see the scene switch to the barber shop.
B. see cut with images but we see nothing.
C. see a lady order wax paper and a barber shop.
D. see a union jack flag on the arm of a chair.",3,0,0,0,16.886923707161436,0.15144436949981355,0.152620536500023,24.719822245002888,2.6448593139648438
5,"Tumbling: The second woman is shown performing some sort of pose. The first woman is shown performing gymnastics once again. The second woman
A. then does heavily beam with the first woman.
B. is shown stretching her leg in the air.
C. is sitting at the speed of light and flashing the flag high into the air.
D. is shown with her cheerleading outfit on and the third woman performing same move.",1,1,1,1,5.3909718617711935,0.15242711225005223,0.15231266233545976,24.67510909800285,2.7386016845703125
6,"Polishing forniture: He removes varnish from the top of the table. Afterwards, he does a light sanding of the table. With a tack rug
A. remover, he rearranges the table.
B. , he makes a straight design from the top of the table.
C. , he fixes the seat of the table.
D. , he removes the dust.",3,3,1,1,6.903296921311458,0.15079237250006372,0.1520765559000523,24.935418434008625,2.7820587158203125
7,"Making a cake: A man in a chef's coat is standing in a kitchen talking to the camera. A pancake is shown with syrup being poured on it. Ingredients are placed in a bowl. The man
A. cracks an egg and whisks the ingredients in a bowl.
B. takes a knife and moves the spatula around the counter.
C. picks up the spatula on a plate and does as he is asked.
D. walks over to the toaster and begins eating the scrambled eggs he was eating.",0,0,1,1,5.574705183656427,0.15225095200003125,0.15245947157798606,33.84516861200109,3.229644775390625
8,"Snow tubing: A person's car is shown from several angles with a person inside and leads into the car driving with people inside. The people
A. are moving the containers using the hose and cars behind them.
B. take turns driving the cars while also driving stones and gravel around.
C. are then shown in various angles riding up a snowy mountain and going down a hill.
D. go skiing together and end by holding hands.",2,2,1,0,11.897033787821224,0.15213296425008593,0.15238726222644303,24.838106551004785,2.7595291137695312
9,"Doing karate: Two girls are standing up doing karate. People are sitting down watching them. A woman in a black robe
A. is talking to them.
B. is kissing a man.
C. is standing up next to them.
D. starts talking to another woman.",2,2,1,0,3.538100106546774,0.1512387975000138,0.15197106785364844,19.297396535998814,2.3201980590820312
10,"Playing water polo: The camera zooms in to show people swimming in the pool and some playing volleyball in the pool. One person gets out of the pool and walks away. A person
A. gets on the screen and writes on the bottom of the screen.
B. gets down on the floor and holds a ball down onto a volleyball net.
C. throws the ball at someone's face.
D. picks up a ball off the ground as the camera shows numerous objects made out of sand.",2,0,0,1,12.743054171810366,0.15255453700001453,0.1518253537373555,30.67163818799645,3.1511306762695312
11,"Archery: He takes another one and shoots it. He grabs another arrow from his waist and shoots again. He shoots an arrow once more. He
A. shoots again at a close range.
B. shoots a second arrow.
C. grabs a final arrow and shoots.
D. shoots two arrow from between his fingers.",2,2,1,1,4.50186908777129,0.1526538697498836,0.15192557252446462,22.335972349997974,2.5132293701171875
