question_index,full_prompt,prefill_tokens,generated_output,generated_tokens,gold_answer,predicted_answer,correct,f1,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_mb
0,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: Father Joseph Carrier, C.S.C. was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874. Carrier taught that scientific research and its promise for progress were not antagonistic to the ideals of intellectual and moral culture endorsed by the Church. One of Carrier's students was Father John Augustine Zahm (1851–1921) who was made Professor and Co-Director of the Science Department at age 23 and by 1900 was a nationally prominent scientist and naturalist. Zahm was active in the Catholic Summer School movement, which introduced Catholic laity to contemporary intellectual issues. His book Evolution and Dogma (1896) defended certain aspects of evolutionary theory as true, and argued, moreover, that even the great Church teachers Thomas Aquinas and Augustine taught something like it. The intervention of Irish American Catholics in Rome prevented Zahm's censure by the Vatican. In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon.
Question: What professorship did Father Josh Carrier hold at Notre Dame?
Answer:",251, Professor and Co-Director of the Science Department,9,Professor of Chemistry and Physics,Professor and Co-Director of the Science Department,0,0.5454545454545454,1.2773915775702798,0.773137424999959,0.2706924596666593,3.2093695619998925,31.375
1,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M.Div., Business, M.Ed.) students. Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries. As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children. As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest. The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative."" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students. With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports."" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh.
Question: What percentage of students at Notre Dame are the children of former Notre Dame students?
Answer:",394, 21-24%,5,21–24%,21-24%,0,0.0,1.5916082328599255,0.04964968800004499,0.07236146380000719,0.4114570070000809,49.25
2,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: Since the construction of its oldest buildings, the university's physical plant has grown substantially. Over the years 29 residence halls have been built to accommodate students and each has been constructed with its own chapel. Many academic building were added together with a system of libraries, the most prominent of which is the Theodore Hesburgh Library, built in 1963 and today containing almost 4 million books. Since 2004, several buildings have been added, including the DeBartolo Performing Arts Center, the Guglielmino Complex, and the Jordan Hall of Science. Additionally, a new residence for men, Duncan Hall, was begun on March 8, 2007, and began accepting residents for the Fall 2008 semester. Ryan Hall was completed and began housing undergraduate women in the fall of 2009. A new engineering building, Stinson-Remick Hall, a new combination Center for Social Concerns/Institute for Church Life building, Geddes Hall, and a law school addition have recently been completed as well. Additionally the new hockey arena opened in the fall of 2011. The Stayer Center for Executive Education, which houses the Mendoza College of Business Executive Education Department opened in March 2013 just South of the Mendoza College of Business building. Because of its long athletic tradition, the university features also many building dedicated to sport. The most famous is Notre Dame Stadium, home of the Fighting Irish football team; it has been renovated several times and today it can hold more than 80 thousand people. Prominent venues include also the Edmund P. Joyce Center, with indoor basketball and volleyball courts, and the Compton Family Ice Arena, a two-rink facility dedicated to hockey. Also, there are many outdoor fields, as the Frank Eck Stadium for baseball.
Question: How many books are housed at the Theodore Hesburgh Library?
Answer:",412, almost 4 million,4,almost 4 million,almost 4 million,1,1.0,1.4204809354556742,0.04385721900007411,0.06576100849997601,0.30690125299997817,51.5
3,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: Notre Dame teams are known as the Fighting Irish. They compete as a member of the National Collegiate Athletic Association (NCAA) Division I, primarily competing in the Atlantic Coast Conference (ACC) for all sports since the 2013–14 school year. The Fighting Irish previously competed in the Horizon League from 1982-83 to 1985-86, and again from 1987-88 to 1994-95, and then in the Big East Conference through 2012–13. Men's sports include baseball, basketball, crew, cross country, fencing, football, golf, ice hockey, lacrosse, soccer, swimming & diving, tennis and track & field; while women's sports include basketball, cross country, fencing, golf, lacrosse, rowing, soccer, softball, swimming & diving, tennis, track & field and volleyball. The football team competes as an Football Bowl Subdivision (FBS) Independent since its inception in 1887. Both fencing teams compete in the Midwest Fencing Conference, and the men's ice hockey team competes in Hockey East.
Question: What when conference do the Notre Dame fencing teams take part in?
Answer:",273, Midwest Fencing Conference,4,Midwest Fencing Conference,Midwest Fencing Conference,1,1.0,1.396172311566966,0.034542371000043204,0.06563259849997394,0.29707276499993895,34.125
4,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress. Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child. Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time. Their hiatus saw the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".
Question: What role did Beyoncé have in Destiny's Child?
Answer:",221, lead singer,2,lead singer,lead singer,1,1.0,1.518326947122841,0.026339732999986154,0.06604575350002051,0.15843124000002717,27.625
5,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: Beyoncé attended St. Mary's Elementary School in Fredericksburg, Texas, where she enrolled in dance classes. Her singing talent was discovered when dance instructor Darlette Johnson began humming a song and she finished it, able to hit the high-pitched notes. Beyoncé's interest in music and performing continued after winning a school talent show at age seven, singing John Lennon's ""Imagine"" to beat 15/16-year-olds. In fall of 1990, Beyoncé enrolled in Parker Elementary School, a music magnet school in Houston, where she would perform with the school's choir. She also attended the High School for the Performing and Visual Arts and later Alief Elsik High School. Beyoncé was also a member of the choir at St. John's United Methodist Church as a soloist for two years.
Question: What choir did Beyoncé sing in for two years?
Answer:",212, St. John's United Methodist Church,7,St. John's United Methodist Church,St. John's United Methodist Church,1,1.0,1.2150157420635306,0.026129884000056336,0.06623936328570121,0.48980542699996477,26.5
6,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: The group changed their name to Destiny's Child in 1996, based upon a passage in the Book of Isaiah. In 1997, Destiny's Child released their major label debut song ""Killing Time"" on the soundtrack to the 1997 film, Men in Black. The following year, the group released their self-titled debut album, scoring their first major hit ""No, No, No"". The album established the group as a viable act in the music industry, with moderate sales and winning the group three Soul Train Lady of Soul Awards for Best R&B/Soul Album of the Year, Best R&B/Soul or Rap New Artist, and Best R&B/Soul Single for ""No, No, No"". The group released their multi-platinum second album The Writing's on the Wall in 1999. The record features some of the group's most widely known songs such as ""Bills, Bills, Bills"", the group's first number-one single, ""Jumpin' Jumpin'"" and ""Say My Name"", which became their most successful song at the time, and would remain one of their signature songs. ""Say My Name"" won the Best R&B Performance by a Duo or Group with Vocals and the Best R&B Song at the 43rd Annual Grammy Awards. The Writing's on the Wall sold more than eight million copies worldwide. During this time, Beyoncé recorded a duet with Marc Nelson, an original member of Boyz II Men, on the song ""After All Is Said and Done"" for the soundtrack to the 1999 film, The Best Man.
Question: Which film featured Destiny's Child's first major single?
Answer:",372, Men in Black,3,Men in Black,Men in Black,1,1.0,1.163336604571049,0.042304639000121824,0.06547336033334734,0.23872472000016387,46.5
7,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: LeToya Luckett and Roberson became unhappy with Mathew's managing of the band and eventually were replaced by Farrah Franklin and Michelle Williams. Beyoncé experienced depression following the split with Luckett and Roberson after being publicly blamed by the media, critics, and blogs for its cause. Her long-standing boyfriend left her at this time. The depression was so severe it lasted for a couple of years, during which she occasionally kept herself in her bedroom for days and refused to eat anything. Beyoncé stated that she struggled to speak about her depression because Destiny's Child had just won their first Grammy Award and she feared no one would take her seriously. Beyoncé would later speak of her mother as the person who helped her fight it. Franklin was dismissed, leaving just Beyoncé, Rowland, and Williams.
Question: Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?
Answer:",216, Her mother,2,her mother,Her mother,1,1.0,2.482878488650675,0.02608904400017309,0.06640656799993394,0.15890218000004097,27.0
8,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: Beyoncé's second solo album B'Day was released on September 5, 2006, in the US, to coincide with her twenty-fifth birthday. It sold 541,000 copies in its first week and debuted atop the Billboard 200, becoming Beyoncé's second consecutive number-one album in the United States. The album's lead single ""Déjà Vu"", featuring Jay Z, reached the top five on the Billboard Hot 100 chart. The second international single ""Irreplaceable"" was a commercial success worldwide, reaching number one in Australia, Hungary, Ireland, New Zealand and the United States. B'Day also produced three other singles; ""Ring the Alarm"", ""Get Me Bodied"", and ""Green Light"" (released in the United Kingdom only).
Question: How many countries did her song ""Irreplaceable"" get number one status in?
Answer:",210," Australia, United States, United Kingdom, New Zealand, Ireland, and Hungary",15,five,"Australia, United States, United Kingdom, New Zealand, Ireland, and Hungary",0,0.0,1.9277381086121692,0.02603391399998145,0.06618031999999706,1.0187387139999373,26.25
9,"Answer the question based on the passage below. Respond with a short phrase copied directly from the passage that answers the question, and nothing else.

Passage: Beyoncé further expanded her acting career, starring as blues singer Etta James in the 2008 musical biopic, Cadillac Records. Her performance in the film received praise from critics, and she garnered several nominations for her portrayal of James, including a Satellite Award nomination for Best Supporting Actress, and a NAACP Image Award nomination for Outstanding Supporting Actress. Beyoncé donated her entire salary from the film to Phoenix House, an organization of rehabilitation centers for heroin addicts around the country. On January 20, 2009, Beyoncé performed James' ""At Last"" at the First Couple's first inaugural ball. Beyoncé starred opposite Ali Larter and Idris Elba in the thriller, Obsessed. She played Sharon Charles, a mother and wife who learns of a woman's obsessive behavior over her husband. Although the film received negative reviews from critics, the movie did well at the US box office, grossing $68 million—$60 million more than Cadillac Records—on a budget of $20 million. The fight scene finale between Sharon and the character played by Ali Larter also won the 2010 MTV Movie Award for Best Fight.
Question: What genre of film was the movie, Obsessed, in which Beyonce starred in?
Answer:",285, thriller,1,thriller,thriller,1,1.0,3.3304747693575787,0.035432891000027666,0.06517332399994302,0.10060621499997069,35.625
