item_index,prompt,gold_index,predicted_index,correct,correct_raw,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_mb
0,"Dodgeball: A large group of people are seen standing around a large gymnasium playing a game of dodge ball with one another. One man
A. hits the other after pulling the other down the court.
B. takes out a tennis ball while moving the other creatures around.
C. stands while the other kicks and hits at him while the pudding team cheerleaders cheer on.
D. performs an impressive flip that leads to a man speaking to the camera and showing more shots of impressive dodgeball play.",3,3,1,0,39.3264726059105,0.1819460170000866,0.14801526736665285,27.37053219399786,2.1292343139648438
1,"Playing accordion: A man is seen speaking to the camera while holding a large accordion in his hands. The man
A. plays the instrument while looking in the camera with his hands.
B. continues playing the instrument while looking off into the distance and pointing.
C. then demonstrates how to properly play the instrument while moving his hands up and down.
D. begins working out on the accordion while tying other pieces together and putting the ends together.",2,2,1,1,6.213836337177083,0.1483216175000166,0.1463848733521051,21.37993848599899,1.7162322998046875
2,"Putting on makeup: She begins to put eye shadow on her eyelids and rubbing it in. She adds eyelash extensions on her eyes. Then
A. , she begins to contour her entire face little by little patting it down as she goes along.
B. she reappears and touches her eyelids.
C. she pretends to dusty your eyes.
D. she repeats the process with her lips.",0,3,0,0,21.454292775872045,0.14854275025004426,0.14592811287342458,23.65081283500126,2.0159378051757812
3,"Hurling: People are playing lacrosse on a field. They score a point into the net. Two men
A. high five on the field.
B. are standing behind a net holding sticks.
C. keep score, making a shot over the net.
D. fall to the ground.",0,1,0,0,9.595181862724544,0.14416408850001972,0.14571589647011624,17.625416241003677,1.5532302856445312
4,"Shaving: We see a man in a barber shop and see images of the shop. The barber speaks cut with scenes of a barber shop. We
A. then see the scene switch to the barber shop.
B. see cut with images but we see nothing.
C. see a lady order wax paper and a barber shop.
D. see a union jack flag on the arm of a chair.",3,0,0,0,17.639686378477172,0.14686442050003734,0.1455383099683596,23.582510657000967,1.797210693359375
5,"Tumbling: The second woman is shown performing some sort of pose. The first woman is shown performing gymnastics once again. The second woman
A. then does heavily beam with the first woman.
B. is shown stretching her leg in the air.
C. is sitting at the speed of light and flashing the flag high into the air.
D. is shown with her cheerleading outfit on and the third woman performing same move.",1,1,1,1,6.731273245144709,0.14959681275001913,0.14597870262659682,23.663022266002372,1.8721542358398438
6,"Polishing forniture: He removes varnish from the top of the table. Afterwards, he does a light sanding of the table. With a tack rug
A. remover, he rearranges the table.
B. , he makes a straight design from the top of the table.
C. , he fixes the seat of the table.
D. , he removes the dust.",3,3,1,1,9.016094125940223,0.14547640825003327,0.1459202099187536,23.929139220000707,1.9073028564453125
7,"Making a cake: A man in a chef's coat is standing in a kitchen talking to the camera. A pancake is shown with syrup being poured on it. Ingredients are placed in a bowl. The man
A. cracks an egg and whisks the ingredients in a bowl.
B. takes a knife and moves the spatula around the counter.
C. picks up the spatula on a plate and does as he is asked.
D. walks over to the toaster and begins eating the scrambled eggs he was eating.",0,0,1,1,5.1652949009808795,0.14459455099995466,0.14616311282110966,32.441936799001724,2.2578048706054688
8,"Snow tubing: A person's car is shown from several angles with a person inside and leads into the car driving with people inside. The people
A. are moving the containers using the hose and cars behind them.
B. take turns driving the cars while also driving stones and gravel around.
C. are then shown in various angles riding up a snowy mountain and going down a hill.
D. go skiing together and end by holding hands.",2,2,1,0,12.521637029461615,0.14492175350017078,0.14561249055345196,23.732073011999546,1.8890380859375
9,"Doing karate: Two girls are standing up doing karate. People are sitting down watching them. A woman in a black robe
A. is talking to them.
B. is kissing a man.
C. is standing up next to them.
D. starts talking to another woman.",2,2,1,0,3.6614993948899466,0.14995782474989028,0.14631347733332709,18.59638901099879,1.5476531982421875
10,"Playing water polo: The camera zooms in to show people swimming in the pool and some playing volleyball in the pool. One person gets out of the pool and walks away. A person
A. gets on the screen and writes on the bottom of the screen.
B. gets down on the floor and holds a ball down onto a volleyball net.
C. throws the ball at someone's face.
D. picks up a ball off the ground as the camera shows numerous objects made out of sand.",2,0,0,1,12.345126506822174,0.14405984600011834,0.1456757064192098,29.42002925500401,2.1926193237304688
11,"Archery: He takes another one and shoots it. He grabs another arrow from his waist and shoots again. He shoots an arrow once more. He
A. shoots again at a close range.
B. shoots a second arrow.
C. grabs a final arrow and shoots.
D. shoots two arrow from between his fingers.",2,2,1,0,4.764912213771892,0.14473563574995296,0.1457138819860279,21.4160276670018,1.696441650390625
12,"Smoking a cigarette: A man and a woman stand on a street talking on front a window. A person
A. exits a building and enters a gym.
B. passes on front the man and the woman.
C. water ski from a lake.
D. sitting down here carving a pumpkin and knitting at the same time.",1,1,1,1,19.669494699826192,0.15568960625000727,0.1452543884416779,18.053285038001377,1.600555419921875
13,"Playing drums: Using his foot for the base and drumming on the snare like a natural. A woman is on a piano playing along with the child. They
A. continue playing the drums and playing the music.
B. have a small audience sitting and watching them perform.
C. continue to play the drum better and play till there's no longer a fist drumming loudly in the background.
D. are both playing and singing along very intently while they're playing for joy.",1,1,1,1,10.394966151218094,0.14515464599980987,0.1456924350053939,27.53371905999711,2.20513916015625
14,"Trimming branches or hedges: He climbed the blue-green ladder to trim the top of the hedge, he moved the ladder to do the middle top of the hedge. The man
A. climbed the ladder to get in the ladder and climber up the ladder.
B. put the lawn mower down and walk as far as the ladder, he pushed the lawn mower against the ladder he was standing on.
C. trimmed the round low bush, used the ladder to trim the top of the round hedge.
D. worked up as fast as he could till he made it over that part right above the top of the hedge.",2,1,0,0,15.623717396010454,0.14541736800015315,0.14627333414027283,32.908076317000905,2.4110870361328125
15,"Getting a haircut: There is a young man dressed in a black shirt going round in circles to show his hair from the front and back. Then he
A. fall off the chair and lands on his face and there are various things on the table next to him immediately he falls off the table onto his back but continues to be riding around doing circular motions on his butts.
B. takes a spray bottle and sprays his hair with water and combs it.
C. gets behind a large red ball and sits and the lights go up and he begins drinking from it as if he just won a jackpot.
D. sits down on the ground and starts to roll over, with his hands on his hips as he bounces up and down.",1,1,1,1,5.386583657998151,0.14444024299996272,0.14591949159912554,33.70148556500135,2.735321044921875
